ALL-10-FOLD-AVG,FillArrayRand 1e6,RecFib40,IntCompare 1e8,Permutations,FFT,Hufmann 100k,MinCut graph-50,MinCut graph-100,MinCut graph-150
Native C++ GCC,13.2,371,1622,153,348,1370,619,11068,65227
Native C++ VS,20,804,3891,286,311,2488,637,4129,10087
native JS Node,22.6,1375,1392,not tried,not tried,not tried,not tried,not tried,not tried
ASM.js Node,67.6,1173,10037,306,615,3275,1143,3249,119323
ASM.js Chrome,12.2,806,2278,346,346,2082,809,2624,120450
WASM Chrome,2,794,520,n/a,288,2033,682,2400,112353
ASM.js Firefox,14.4,810,2954,389,348,2007,708,2406,117550
WASM Firefox,3.6,830,762,n/a,306,1840,610,2074,108537
ASM.js Edge,29.6,1651,5711,292,460,2669,987,3267,132141
WASM Edge,13.1,1685,1136,n/a,n/a,3780,1106,3666,148301
